,label,edge_intensity,mean,std,version
0,COVID-19,77680.3,146.87338256835938,47.120566943851486,old
1,COVID-19,61792.55,151.93682861328125,53.47255401659379,old
2,COVID-19,85009.0,163.76849365234375,26.326263839566145,old
3,COVID-19,65167.85,137.49331665039062,40.100664705526086,old
4,COVID-19,28632.55,87.767822265625,30.134024047034252,old
5,COVID-19,45700.6,121.81761169433594,55.35235737792965,old
6,COVID-19,58532.0,111.30363464355469,31.00216691207962,old
7,COVID-19,79552.8,153.05442810058594,48.7981484319793,old
8,COVID-19,64601.0,146.56710815429688,46.85325942099041,old
9,COVID-19,51635.3,149.98617553710938,59.16152225785479,old
10,COVID-19,16963.75,103.95158386230469,71.18720413434232,old
11,COVID-19,67257.7,139.8262176513672,35.18537070687567,old
12,COVID-19,69349.85,149.67559814453125,49.122577049012484,old
13,COVID-19,40874.15,110.43321228027344,44.35767667579448,old
14,COVID-19,34562.0,100.6759033203125,47.51799588856883,old
15,COVID-19,83773.9,159.13253784179688,38.43755453984677,old
16,COVID-19,48350.05,133.904052734375,57.73476729975947,old
17,COVID-19,58424.55,156.41635131835938,44.01911847954726,old
18,COVID-19,64050.7,142.34527587890625,49.16680994177524,old
19,COVID-19,52973.25,99.72831726074219,15.862140734453817,old
20,COVID-19,66630.65,123.77268981933594,41.137652322443905,old
21,COVID-19,69353.65,149.67210388183594,49.116184185612674,old
22,COVID-19,20239.6,107.77523803710938,74.48079820595356,old
23,COVID-19,61993.15,122.48881530761719,42.87794449847585,old
24,COVID-19,72712.9,143.57742309570312,44.028254913883515,old
25,COVID-19,66744.8,147.78421020507812,55.19662400864665,old
26,COVID-19,52069.45,133.06007385253906,33.52943573106718,old
27,COVID-19,29041.15,140.83470153808594,56.207157393549224,old
28,COVID-19,4002.8,68.81394958496094,52.594896634242915,old
29,COVID-19,51926.3,110.95445251464844,35.70354063299944,old
30,COVID-19,72686.55,144.88241577148438,23.27313193979476,old
31,COVID-19,88269.15,154.70005798339844,37.16955010918082,old
32,COVID-19,62757.2,159.1226348876953,51.76970284756839,old
33,COVID-19,54398.9,98.9324951171875,35.37598935060553,old
34,COVID-19,63072.95,171.47608947753906,58.447412643691884,old
35,COVID-19,63832.55,149.94219970703125,48.235632944857024,old
36,COVID-19,51080.85,147.29257202148438,58.10624595384366,old
37,COVID-19,65147.35,138.740478515625,40.72305475273275,old
38,COVID-19,81691.4,158.83824157714844,24.405279107183976,old
39,COVID-19,87394.45,164.9883575439453,29.846778242551622,old
40,COVID-19,49216.05,121.69197082519531,43.0180240940717,old
41,COVID-19,59335.2,117.31086730957031,38.559207660777645,old
42,COVID-19,63508.65,158.71453857421875,56.337736966450414,old
43,COVID-19,88945.35,141.4156036376953,49.38361636209088,old
44,COVID-19,41605.1,130.18797302246094,67.7539542600742,old
45,COVID-19,74095.55,155.41256713867188,42.99200737942272,old
46,COVID-19,93955.3,155.10833740234375,73.827122265475,old
47,COVID-19,44391.8,152.21334838867188,61.36379523003291,old
48,COVID-19,77382.85,156.86610412597656,27.003498010084947,old
49,COVID-19,67461.45,135.1274871826172,45.02202590102022,old
50,COVID-19,79748.7,141.67767333984375,52.715540787645516,old
51,COVID-19,50558.15,136.8733367919922,49.69827289131866,old
52,COVID-19,50870.55,136.8029022216797,93.24964958620048,old
53,COVID-19,89374.25,150.28363037109375,50.96298667986527,old
54,COVID-19,49572.35,127.00038146972656,60.979122027286834,old
55,COVID-19,61908.75,137.4136962890625,40.32888850993568,old
56,COVID-19,1564.05,67.41510009765625,56.73817591117364,old
57,COVID-19,74487.6,141.93328857421875,34.11951496634727,old
58,COVID-19,76116.75,147.00790405273438,22.56670474641541,old
59,COVID-19,44269.5,87.16073608398438,51.60183732747761,old
60,COVID-19,93069.7,152.17947387695312,57.56740845247536,old
61,COVID-19,10238.55,57.6805419921875,53.42052822181058,old
62,COVID-19,61276.75,148.05821228027344,40.37813646543443,old
63,COVID-19,65674.6,134.19419860839844,51.92413539092232,old
64,COVID-19,84307.55,165.79544067382812,25.077399010395943,old
65,COVID-19,59761.4,137.44992065429688,43.63032453592243,old
66,COVID-19,90773.45,153.97222900390625,39.63886111581519,old
67,COVID-19,49821.85,111.78471374511719,44.92620725139671,old
68,COVID-19,69569.8,130.7545623779297,56.00927100902617,old
69,COVID-19,53490.8,99.52677917480469,36.979596466814684,old
70,COVID-19,22215.55,113.63734436035156,53.58576775289596,old
71,COVID-19,55519.15,101.75730895996094,33.293908748088995,old
72,COVID-19,94963.9,164.0614776611328,61.77558909963978,old
73,COVID-19,78623.85,162.3861846923828,37.215161933883955,old
74,COVID-19,53500.65,159.02090454101562,56.350881401524504,old
75,COVID-19,86639.35,151.34349060058594,49.0403454848826,old
76,COVID-19,70096.9,123.83920288085938,47.769175172689074,old
77,COVID-19,37082.1,148.21246337890625,65.09534394566496,old
78,COVID-19,75048.65,129.51426696777344,40.04811457514502,old
79,COVID-19,77491.75,144.680908203125,45.52989055918559,old
80,COVID-19,64095.4,149.36410522460938,56.70754555862782,old
81,COVID-19,74100.65,130.36294555664062,42.019038831018975,old
82,COVID-19,40427.05,93.58750915527344,34.75359081898961,old
83,COVID-19,76898.45,160.47547912597656,49.215681420178655,old
84,COVID-19,71113.75,134.30531311035156,54.06916448574801,old
85,COVID-19,69530.25,141.71322631835938,53.61763406957453,old
86,COVID-19,69984.35,147.98080444335938,40.53381741443625,old
87,COVID-19,77058.65,152.747314453125,45.99647965060778,old
88,COVID-19,72097.95,134.34869384765625,29.134914206721607,old
89,COVID-19,71307.25,149.04029846191406,57.36094803570174,old
90,COVID-19,67453.4,154.32763671875,33.51586333147865,old
91,COVID-19,28083.7,124.83700561523438,59.929002450282816,old
92,COVID-19,66495.75,129.3045654296875,49.603558171841286,old
93,COVID-19,50722.0,101.47785949707031,17.632797734355943,old
94,COVID-19,62466.5,148.4762725830078,47.78892027063103,old
95,COVID-19,51469.65,139.68621826171875,56.012490567858805,old
96,COVID-19,64620.65,146.57373046875,46.85084008478406,old
97,COVID-19,47071.0,106.48931884765625,21.736112005420917,old
98,COVID-19,89790.85,155.93453979492188,46.027012593708434,old
99,COVID-19,44524.5,95.28201293945312,36.37824118668667,old
