,path,image,label,mean,std,thres_inf_50,entropy,edge_intensity,edge_brightness,center_brightness
0,Data/COVID-19/COVID-19 (1).png,1,COVID-19,145.89463806152344,51.83743160817323,0.0683441162109375,7.180072364428402,55590.65,53.76686096191406,92.12777709960938
1,Data/COVID-19/COVID-19 (2).png,2,COVID-19,116.71430969238281,57.79654684085239,0.1515960693359375,7.654485039216213,19196.9,41.17292785644531,75.5413818359375
2,Data/COVID-19/COVID-19 (3).png,3,COVID-19,149.36410522460938,56.70754555862782,0.0532684326171875,7.4696168598033355,64095.4,60.084747314453125,89.27935791015625
3,Data/COVID-19/COVID-19 (4).png,4,COVID-19,141.35301208496094,40.649549385644576,0.0072479248046875,7.248414828332473,54610.7,55.72331237792969,85.62969970703125
4,Data/COVID-19/COVID-19 (5).png,5,COVID-19,120.6171875,61.34875250234311,0.13519287109375,7.638570435711847,35193.5,43.56561279296875,77.05157470703125
5,Data/COVID-19/COVID-19 (6).png,6,COVID-19,129.67572021484375,53.31677907334336,0.0871734619140625,7.541579884834991,34357.35,44.73454284667969,84.94117736816406
6,Data/COVID-19/COVID-19 (7).png,7,COVID-19,117.14314270019531,76.06449524451682,0.260772705078125,7.3549628241851055,19635.2,32.04270935058594,85.10043334960938
7,Data/COVID-19/COVID-19 (8).png,8,COVID-19,102.07400512695312,71.58775962702678,0.302490234375,7.245812332598141,20140.3,25.455398559570312,76.61860656738281
8,Data/COVID-19/COVID-19 (9).png,9,COVID-19,128.73838806152344,55.83976486846732,0.1006011962890625,7.5123479281210495,55162.75,50.49574279785156,78.24264526367188
9,Data/COVID-19/COVID-19 (10).png,10,COVID-19,142.5992431640625,71.45162357249798,0.08648681640625,7.29721541110297,49841.2,56.760589599609375,85.83865356445312
10,Data/COVID-19/COVID-19 (11).png,11,COVID-19,145.1593475341797,44.16700037038788,0.01202392578125,7.2976488545629525,75000.35,67.02316284179688,78.13618469238281
11,Data/COVID-19/COVID-19 (12).png,12,COVID-19,159.7884979248047,52.023426848550876,0.0208892822265625,7.560744718941087,62418.4,62.446136474609375,97.34236145019531
12,Data/COVID-19/COVID-19 (13).png,13,COVID-19,90.28718566894531,43.8546874371142,0.1809234619140625,6.892493584278389,17637.65,29.298248291015625,60.98893737792969
13,Data/COVID-19/COVID-19 (14).png,14,COVID-19,170.37037658691406,51.80232090542613,0.019500732421875,7.459113995789533,84134.8,67.34576416015625,103.02461242675781
14,Data/COVID-19/COVID-19 (15).png,15,COVID-19,123.37107849121094,39.45252334437827,0.006744384765625,7.263237650641884,62025.8,56.08598327636719,67.28509521484375
15,Data/COVID-19/COVID-19 (16).png,16,COVID-19,153.23150634765625,47.037468699917945,0.017578125,7.267031075137478,75155.2,66.32112121582031,86.91038513183594
16,Data/COVID-19/COVID-19 (17).png,17,COVID-19,157.04067993164062,56.25906062379702,0.03173828125,7.529662392390034,79626.95,66.95175170898438,90.08892822265625
17,Data/COVID-19/COVID-19 (18).png,18,COVID-19,145.39849853515625,40.0216648200967,0.0143890380859375,7.206399801496099,72525.85,60.98323059082031,84.41526794433594
18,Data/COVID-19/COVID-19 (19).png,19,COVID-19,147.16468811035156,51.11312668962245,0.06280517578125,7.362477630213708,57094.9,57.38374328613281,89.78094482421875
19,Data/COVID-19/COVID-19 (20).png,20,COVID-19,121.81761169433594,55.35235737792965,0.09136962890625,7.607794865309344,45700.6,47.225433349609375,74.59217834472656
20,Data/COVID-19/COVID-19 (21).png,21,COVID-19,174.120849609375,48.93133574244507,0.0057830810546875,7.483523734613252,67949.25,67.5732421875,106.547607421875
21,Data/COVID-19/COVID-19 (22).png,22,COVID-19,138.44309997558594,37.13296532664368,0.0462493896484375,6.872389368175495,70410.25,56.284393310546875,82.15870666503906
22,Data/COVID-19/COVID-19 (23).png,23,COVID-19,143.40516662597656,57.10566215308004,0.0715179443359375,7.6548179973621835,64289.0,60.66798400878906,82.7371826171875
23,Data/COVID-19/COVID-19 (24).png,24,COVID-19,131.24610900878906,65.70345820411447,0.1171417236328125,7.4912376877882085,49047.3,48.47840881347656,82.7677001953125
24,Data/COVID-19/COVID-19 (25).png,25,COVID-19,141.93222045898438,71.02618064377404,0.143341064453125,7.4899360803184,40032.0,43.13383483886719,98.79838562011719
